drug_name,medical_condition,generic_name,side_effects
Tivicay,AIDS/HIV,dolutegravir,"Stop taking this medicine and get emergency medical help if you have signs of an allergic reaction to Tivicay: fever, general ill feeling, trouble breathing, tiredness; joint or muscle pain, blisters or mouth sores, redness or swelling in your eyes; blistering or peeling skin ; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: the first sign of any skin rash , no matter how mild; or liver problems - nausea , vomiting , loss of appetite, upper stomach pain, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Dolutegravir affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell your doctor if you have: signs of a new infection - fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common Tivicay side effects may include: headache ; tiredness; or sleep problems ( insomnia )."
abacavir / dolutegravir / lamivudine,AIDS/HIV,"abacavir, dolutegravir, and lamivudine","Call your doctor at once if you have symptoms of an allergic reaction from two or more of these specific side effect groups: Group 1 - fever; Group 2 - rash; Group 3 - nausea, vomiting, diarrhea, stomach pain; Group 4 - general ill feeling, extreme tiredness, body aches; Group 5 - shortness of breath, cough, sore throat. Once you have had an allergic reaction to a medicine that contains abacavir or dolutegravir, you must never use it again. If you stop taking abacavir, dolutegravir, and lamivudine for any reason, talk to your doctor before you start taking it again. Abacavir, dolutegravir, and lamivudine may cause serious side effects. Call your doctor at once if you have: other signs of allergic reaction--skin blisters or peeling, eye redness , swelling in your face or throat, trouble breathing; lactic acidosis --unusual muscle pain, trouble breathing, stomach pain, vomiting, irregular heart rate, dizziness , feeling cold, or feeling very weak or tired; or liver problems--swelling around your midsection, right-sided upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Abacavir, dolutegravir, and lamivudine affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell your doctor if you have: signs of a new infection--fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea, weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common side effects of abacavir, dolutegravir, and lamivudine may include: headache ; tiredness; or trouble sleeping."
Prezista,AIDS/HIV,darunavir,"a skin rash, no matter how mild; high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor; or signs of liver or pancreas problems - loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting , fast heart rate , dark urine, jaundice (yellowing of the skin or eyes). Darunavir affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell your doctor if you have: signs of a new infection - fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common Prezista side effects may include: nausea, vomiting, diarrhea, stomach pain; headache ; rash; or changes in the shape or location of body fat (especially in your arms, legs, face, neck, breasts, and waist)."
bictegravir / emtricitabine / tenofovir alafenamide,AIDS/HIV,"bictegravir, emtricitabine, and tenofovir","hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Bictegravir, emtricitabine, and tenofovir may cause serious side effects. Call your doctor at once if you have: kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath; lactic acidosis --muscle pain or weakness, numbness or cold feeling, trouble breathing, stomach pain, vomiting , irregular heart rate, dizziness , or feeling very weak or tired; or liver problems--swelling around your midsection, upper stomach pain, unusual tiredness, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Biktarvy affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell your doctor if you have: signs of a new infection--fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common side effects of bictegravir, emtricitabine, and tenofovir may include: nausea , diarrhea; or headache ."
cobicistat / elvitegravir / emtricitabine / tenofovir,AIDS/HIV,"cobicistat, elvitegravir, emtricitabine, and tenofovir","hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Cobicistat, elvitegravir, emtricitabine, and tenofovir may cause serious side effects. Call your doctor at once if you have: kidney problems--swelling, urinating less, feeling tired or short of breath; lactic acidosis --unusual muscle pain, trouble breathing, stomach pain, vomiting , irregular heart rate, dizziness , feeling cold, or feeling very weak or tired; or liver problems-- nausea , upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Antiviral medicine can affect your immune system (even weeks or months after you've used this medicine). Tell your doctor if you have: signs of a new infection--fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common side effects of cobicistat, elvitegravir, emtricitabine, and tenofovir may include: nausea; or diarrhea."
Cabenuva,AIDS/HIV,cabotegravir and rilpivirine,"hives ; fever, tiredness, body aches, not feeling well; sores or blisters in your mouth; red or puffy eyes; difficult breathing; swelling of your face, lips, tongue, or throat. Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Your Cabenuva injections may be permanently discontinued if you have an allergic reaction. Some side effects may occur within a few minutes after an injection. Tell your caregiver if you feel anxious, warm, light-headed, sweaty, or have stomach pain, or numbness in your mouth. Call your doctor at once if you have: unusual changes in mood or behavior; suicidal thoughts or actions; or liver problems - loss of appetite, nausea , vomiting , stomach pain (upper right side), itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common Cabenuva side effects may include: pain, redness, swelling, itching, bruising, warmth, or a hard lump where an injection was given; fever; nausea; pain in your bones, joints or muscles; feeling tired, sleep problems; headache , dizziness ; or rash."
dolutegravir / lamivudine,AIDS/HIV,dolutegravir and lamivudine,"Stop taking this medicine and get emergency medical help if you have signs of an allergic reaction: fever, general ill feeling, trouble breathing, tiredness; joint or muscle pain, blisters or mouth sores, redness or swelling in your eyes; blistering or peeling skin ; swelling of your face, lips, tongue, or throat. Mild symptoms of lactic acidosis may worsen over time , and this condition can be fatal. unusual muscle pain, trouble breathing, stomach pain, vomiting , fast or irregular heart rate, dizziness , feeling cold, or feeling very weak or tired. Dolutegravir and lamivudine may cause serious side effects. Call your doctor at once if you have: the first sign of any skin rash , no matter how mild; or liver problems-- nausea , vomiting, loss of appetite, upper stomach pain, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Dolutegravir and lamivudine affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell your doctor if you have: signs of a new infection--fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common side effects of dolutegravir and lamivudine may include: headache ; tiredness; nausea, diarrhea; or sleep problems ( insomnia )."
emtricitabine / tenofovir alafenamide,AIDS/HIV,,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: More common Chest pain or tightness confusion cough fever or chills increase in bone pain irregular heartbeat nausea or vomiting nervousness numbness or tingling in the hands, feet, or lips sneezing stomach pain trouble breathing weakness or heaviness of the legs Incidence not known Agitation bloody urine change in consciousness dark urine decreased appetite decreased frequency or amount of urine depression diarrhea fast, shallow breathing general feeling of discomfort headache hostility increased thirst irritability large, hive-like swelling on face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs light-colored stools loss of appetite loss of consciousness lower back or side pain muscle pain, twitching, or cramping seizures sleepiness stomach discomfort swelling of the face, fingers, or lower legs unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness upper right abdominal or stomach pain vomiting weight gain yellow eyes and skin Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Emtricitabine / tenofovir alafenamide side effects"
Complera,AIDS/HIV,"emtricitabine, rilpivirine, and tenofovir","hives, blistering skin rash with fever; mouth sores, eye redness; difficulty breathing; swelling of your face, lips, tongue, or throat. Some people develop lactic acidosis while taking HIV medication. Early symptoms may get worse over time and this condition can be fatal. Get emergency medical help if you have even mild symptoms such as: muscle pain or weakness, numb or cold feeling in your arms and legs, trouble breathing, stomach pain, nausea with vomiting, fast or uneven heart rate, dizziness, or feeling very weak or tired. Call your doctor at once if you have: confusion, severe depression, unusual thoughts or behavior, suicidal thoughts or actions; increased thirst and urination, loss of appetite, weakness, constipation; kidney problems - little or no urinating, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath; liver problems - swelling around your midsection, upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or signs of inflammation in your body - swollen glands, flu symptoms, easy bruising or bleeding, severe tingling or numbness, muscle weakness, upper stomach pain, jaundice (yellowing of the skin or eyes), chest pain, new or worsening cough with fever, trouble breathing; Complera may increase your risk of certain infections or autoimmune disorders by changing the way your immune system works. Symptoms may occur weeks or months after you start treatment. Tell your doctor if you have: signs of a new infection - fever, night sweats, swollen glands, diarrhea, weight loss; chest pain (especially when you breathe), dry cough, wheezing; cold sores, sores on your genital or anal area; feeling anxious or irritable, weakness or prickly feeling, problems with balance or eye movement; trouble speaking or swallowing, severe lower back pain, loss of bladder or bowel control; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence, loss of interest in sex. Common Complera side effects may include: headache, dizziness, tiredness; depressed mood, sleep problems (insomnia), strange dreams; rash; nausea, diarrhea; or changes in the shape or location of body fat (especially in your arms, legs, face, neck, breasts, and waist)."
Reyataz,AIDS/HIV,atazanavir,"sudden dizziness (like you might pass out); severe pain in your lower stomach or back; painful urination, blood in your urine; high blood sugar -increased thirst, increased urination, dry mouth, fruity breath odor, headache , blurred vision; or liver or gallbladder problems - nausea , vomiting , upper stomach pain, itching, fever, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Atazanavir affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell your doctor if you have: signs of a new infection -fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement; weakness or prickly feeling, loss of bladder or bowel control; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common Reyataz side effects may include: fever; nausea, vomiting, stomach pain, diarrhea; headache, muscle pain; depressed mood, sleep problems ( insomnia ); numbness , tingling, or burning pain in your hands or feet; or changes in the shape or location of body fat (especially in your arms, legs, face, neck, breasts, and waist)."
Epzicom,AIDS/HIV,abacavir and lamivudine,"Call your doctor at once if you have symptoms of an allergic reaction from two or more of these specific side effect groups: Group 1 - fever; Group 2 - rash; Group 3 - nausea, vomiting, diarrhea, stomach pain; Group 4 - general ill feeling, extreme tiredness, body aches; Group 5 - shortness of breath, cough, sore throat. Once you have an allergic reaction to abacavir, you must never use it again. If you stop taking this medicine for any reason, talk to your doctor before you start taking it again. Also call your doctor at once if you have: other signs of allergic reaction - hives , swelling in your face or throat, trouble breathing; lactic acidosis - unusual muscle pain, trouble breathing, stomach pain, vomiting, fast/slow or irregular heartbeats, dizziness , feeling cold, feeling very weak or tired; or liver problems - loss of appetite, stomach pain (upper right side), tiredness, itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Abacavir and lamivudine affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell your doctor if you have: signs of a new infection - fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea, weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common Epzicom side effects include: allergic reaction; depression , trouble sleeping; feeling weak or tired; headache , dizziness, migraine ; nausea, diarrhea; or changes in the shape or location of body fat (especially in your arms, legs, face, neck, breasts, and trunk)."
ritonavir,AIDS/HIV,ritonavir,"irregular heartbeats, or a light-headed feeling (like you might pass out); easy bruising, unusual bleeding (nose, mouth, vagina, or rectum), purple or red pinpoint spots under your skin; signs of a kidney stone--pain in your side or lower back, blood in your urine, painful or difficult urination; high blood sugar--increased thirst, increased urination, hunger, dry mouth, fruity breath odor; or signs of liver or pancreas problems--loss of appetite, upper stomach pain (that may spread to your back), nausea , vomiting , dark urine, jaundice (yellowing of the skin or eyes). Ritonavir affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell your doctor if you have: signs of a new infection--fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common side effects of ritonavir may include: nausea, vomiting, stomach pain, diarrhea; numbness or tingling in your hands or feet or around your mouth; feeling weak or tired; rash; or changes in the shape or location of body fat (especially in your arms, legs, face, neck, breasts, and waist)."
lamivudine,AIDS/HIV,lamivudine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Mild symptoms of lactic acidosis may worsen over time , and this condition can be fatal. Get emergency medical help if you have: unusual muscle pain, trouble breathing, stomach pain, vomiting , irregular heart rate, dizziness , feeling cold, or feeling very weak or tired. Lamivudine may cause serious side effects. Call your doctor at once if you have: pancreas problems--severe pain in your upper stomach spreading to your back, nausea and vomiting , fast heart rate ; or liver problems--swelling around your midsection, right-sided upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Lamivudine affects your immune system, which may cause certain side effects (even weeks or months after you've taken lamivudine). Tell your doctor if you have: signs of a new infection--fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common side effects of lamivudine may include: nausea, diarrhea; headache ; fever, tiredness, general ill feeling; ear infection--ear pain or full feeling, trouble hearing, drainage from the ear, fussiness in a child; or nose or throat infection--stuffy nose, sneezing, sore throat , cough."
tenofovir,AIDS/HIV,tenofovir,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Mild symptoms of lactic acidosis may worsen over time , and this condition can be fatal. Get emergency medical help if you have: unusual muscle pain, trouble breathing, stomach pain, vomiting , fast/slow or irregular heartbeats, dizziness , feeling cold, or feeling very weak or tired. Tenofovir may cause serious side effects. Call your doctor at once if you have: sore throat , flu symptoms, easy bruising or unusual bleeding; kidney problems--little or no urination, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath; or liver problems--swelling around your midsection, upper stomach pain, unusual tiredness, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Tenofovir can affect your immune system (even weeks or months after you've used this medicine). Tell your doctor if you have: signs of a new infection--fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common side effects of tenofovir may include: stomach pain, nausea , vomiting, diarrhea; fever, pain; weakness, dizziness; headache ; depressed mood; itching, rash; or sleep problems ( insomnia )."
Viread,AIDS/HIV,tenofovir disoproxil,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Mild symptoms of lactic acidosis may worsen over time , and this condition can be fatal. Get emergency medical help if you have: unusual muscle pain, trouble breathing, stomach pain, vomiting , fast/slow or irregular heartbeats, dizziness , feeling cold, or feeling very weak or tired. Call your doctor at once if you have: sore throat , flu symptoms, easy bruising or unusual bleeding; kidney problems - little or no urination, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath; or liver problems - swelling around your midsection, upper stomach pain, unusual tiredness, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Viread can affect your immune system (even weeks or months after you've used this medicine). Tell your doctor if you have: signs of a new infection - fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common Viread side effects may include: stomach pain, nausea , vomiting, diarrhea; fever, pain; weakness, dizziness; headache ; depressed mood; itching, rash; or sleep problems ( insomnia )."
dolutegravir,AIDS/HIV,dolutegravir,"Stop taking this medicine and get emergency medical help if you have signs of an allergic reaction: fever, general ill feeling, trouble breathing, tiredness; joint or muscle pain, blisters or mouth sores, redness or swelling in your eyes; blistering or peeling skin ; swelling of your face, lips, tongue, or throat. Dolutegravir may cause serious side effects. Call your doctor at once if you have: the first sign of any skin rash , no matter how mild; or liver problems-- nausea , vomiting , loss of appetite, upper stomach pain, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Dolutegravir affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell your doctor if you have: signs of a new infection--fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common side effects of dolutegravir may include: headache ; tiredness; or sleep problems ( insomnia )."
